Entity,Wallet,Label,,,,,,,,,,
Coinbase 1,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Exchange,,,,,,,,,,
Coinbase 2,0x503828976d22510aad0201ac7ec88293211d23da,Exchange,,,,,,,,,,
Coinbase 3,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Exchange,,,,,,,,,,
Coinbase 4,0x3cd751e6b0078be393132286c442345e5dc49699,Exchange,,,,,,,,,,
Coinbase 5,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Exchange,,,,,,,,,,
Coinbase 6,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Exchange,,,,,,,,,,
Coinbase: Coinbase Commerce,0xf6874c88757721a02f47592140905c4336dfbc61,Exchange,,,,,,,,,,
Coinbase: Miscellaneous,0xa090e606e30bd747d4e6245a1517ebe430f0057e,Exchange,,,,,,,,,,
Crypto.com,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Exchange,,,,,,,,,,
Crypto.com 2,0x46340b20830761efd32832a74d7169b29feb9758,Exchange,,,,,,,,,,
FTX Exchange,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,Exchange,,,,,,,,,,
FTX Exchange 2,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,Exchange,,,,,,,,,,
HitBTC 1,0x9c67e141c0472115aa1b98bd0088418be68fd249,Exchange,,,,,,,,,,
HitBTC 2,0x59a5208b32e627891c389ebafc644145224006e8,Exchange,,,,,,,,,,
HitBTC 3,0xa12431d0b9db640034b0cdfceef9cce161e62be4,Exchange,,,,,,,,,,
OpenSea: Wallet,0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,Exchange,,,,,,,,,,
Poloniex,0x32be343b94f860124dc4fee278fdcbd38c102d88,Exchange,,,,,,,,,,
Poloniex 2,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,Exchange,,,,,,,,,,
Poloniex 3,0xb794f5ea0ba39494ce839613fffba74279579268,Exchange,,,,,,,,,,
Poloniex 4,xa910f92acdaf488fa6ef02174fb86208ad7722ba,Exchange,,,,,,,,,,
Poloniex: BAT,0xaa9fa73dfe17ecaa2c89b39f0bb2779613c5fc3b,Exchange,,,,,,,,,,
Poloniex: BNT,0x2fa2bc2ce6a4f92952921a4caa46b3727d24a1ec,Exchange,,,,,,,,,,
Poloniex: CVC,0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1,Exchange,,,,,,,,,,
Poloniex: FOAM,0x6b71834d65c5c4d8ed158d54b47e6ea4ff4e5437,Exchange,,,,,,,,,,
Poloniex: GNO,0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df,Exchange,,,,,,,,,,
Poloniex: GNT,0x0536806df512d6cdde913cf95c9886f65b1d3462,Exchange,,,,,,,,,,
Poloniex: KNC,0x8d451ae5ee8f557a9ce7a9d7be8a8cb40002d5cb,Exchange,,,,,,,,,,
Poloniex: LOOM,0xbd2ec7c608a06fe975dbdca729e84dedb34ecc21,Exchange,,,,,,,,,,
Poloniex: MANA,0xc0e30823e5e628df8bc9bf2636a347e1512f0ecb,Exchange,,,,,,,,,,
Poloniex: NXC,0x65f9b2e4d7aaeb40ffea8c6f5844d5ad7da257e0,Exchange,,,,,,,,,,
Poloniex: OMG,0x36b01066b7fa4a0fdb2968ea0256c848e9135674,Exchange,,,,,,,,,,
Poloniex: REP,0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5,Exchange,,,,,,,,,,
Poloniex: SNT,0x6795cf8eb25585eadc356ae32ac6641016c550f2,Exchange,,,,,,,,,,
Poloniex: STORJ,0xfbf2173154f7625713be22e0504404ebfe021eae,Exchange,,,,,,,,,,
Poloniex: USDC,0x6f803466bcd17f44fa18975bf7c509ba64bf3825,Exchange,,,,,,,,,,
Poloniex: ZRX,0xead6be34ce315940264519f250d8160f369fa5cd,Exchange,,,,,,,,,,
Opyn: Options Exchange,0x39246c4f3f6592c974ebc44f80ba6dc69b817c71,Exchange,,,,,,,,,,
Opyn: Options Factory,0xcc5d905b9c2c8c9329eb4e25dc086369d6c7777c,Exchange,,,,,,,,,,
Opyn: Oracle,0x7054e08461e3ecb7718b63540addb3c3a1746415,Exchange,,,,,,,,,,
Opyn: Proxy,0x87887cf0e37d937f989ab76b99e4f4682da044c4,Exchange,,,,,,,,,,
2Miners: PPLNS,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,Mining,,,,,,,,,,
2Miners: PPLNS Exchange,0x6d5c355ea0bef659d3598401a327521f51e9d4eb,Mining,,,,,,,,,,
2Miners: SOLO,0x002e08000acbbae2155fab7ac01929564949070d,Mining,,,,,,,,,,
AlphaPool,0xc839ee5542b4e8413246b3634c5c739fea949562,Mining,,,,,,,,,,
AntPool,0xa855c20a1351acd2690c716e2709c7dff3978d12,Mining,,,,,,,,,,
Babel Pool,0xb3b7874f13387d44a3398d298b075b7a3505d8d4,Mining,,,,,,,,,,
BaikalMine 1,0xff1b891969773159366ab6310ff63a69ac4acffd,Mining,,,,,,,,,,
Baypool,0x4ff271d3e8298213be3d88d257f3973a4b6d727b,Mining,,,,,,,,,,
BeePool,0x99c85bb64564d9ef9a99621301f22c9993cb89e3,Mining,,,,,,,,,,
BitClubPool,0xf3b9d2c81f2b24b0fa0acaaa865b7d9ced5fc2fb,Mining,,,,,,,,,,
BTC.com Pool,0xeea5b82b61424df8020f5fedd81767f2d0d25bfb,Mining,,,,,,,,,,
Bw Pool,0x52e44f279f4203dcf680395379e5f9990a69f13c,Mining,,,,,,,,,,
CoinMine.pl,0x68795c4aa09d6f4ed3e5deddf8c2ad3049a601da,Mining,,,,,,,,,,
Coinotron 1,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,Mining,,,,,,,,,,
Coinotron 2,0xa42af2c70d316684e57aefcc6e393fecb1c7e84e,Mining,,,,,,,,,,
Coinotron 3,0x6a7a43be33ba930fe58f34e07d0ad6ba7adb9b1f,Mining,,,,,,,,,,
CoolPool.Top: SOLO,0xe5a349fc4ff853dfdd0b7eaaa9dcd8918e768f49,Mining,,,,,,,,,,
Cruxpool,0x249bdb4499bd7c683664c149276c1d86108e2137,Mining,,,,,,,,,,
DigiPools,0xcf0e04cc0b8fcd66f42679bce42bf2569f438234,Mining,,,,,,,,,,
DwarfPool,0x2a65aca4d5fc5b5c859090a6c34d164135398226,Mining,,,,,,,,,,
DwarfPool 2,0x151255dd9e38e44db38ea06ec66d0d113d6cbe37,Mining,,,,,,,,,,
Easy2Mine,0xc4aeb20798368c48b27280847e187bb332b9bc77,Mining,,,,,,,,,,
Eth.pp.ua,0xa027231f42c80ca4125b5cb962a21cd4f812e88f,Mining,,,,,,,,,,
ETH.SoloPool.org,0xf35074bbd0a9aee46f4ea137971feec024ab704e,Mining,,,,,,,,,,
EthashPool 1,0x8fce1ef27f3add1411c7a99be402de598ad38389,Mining,,,,,,,,,,
Kraken,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Exchange,,,,,,,,,,
Kraken 2,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Exchange,,,,,,,,,,
Kraken 3,0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Exchange,,,,,,,,,,
Kraken 4,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Exchange,,,,,,,,,,
Kraken 5,0xfa52274dd61e1643d2205169732f29114bc240b3,Exchange,,,,,,,,,,
Kraken 6,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,Exchange,,,,,,,,,,
Kraken 7,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Exchange,,,,,,,,,,
Kraken: Deployer 1,0x2e7542ec36df6429d8c397f88c4cf0c925948f44,Exchange,,,,,,,,,,
Kraken: Deployer 2,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,Exchange,,,,,,,,,,
Kraken: Hot Wallet,0xe9f7ecae3a53d2a67105292894676b00d1fab785,Exchange,,,,,,,,,,
Huobi 1,0xab5c66752a9e8167967685f1450532fb96d5d24f,Exchange,,,,,,,,,,
Huobi 10,0xe93381fb4c4f14bda253907b18fad305d799241a,Exchange,,,,,,,,,,
Huobi 11,0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,Exchange,,,,,,,,,,
Huobi 12,0x46705dfff24256421a05d056c29e81bdc09723b8,Exchange,,,,,,,,,,
Huobi 13,0x32598293906b5b17c27d657db3ad2c9b3f3e4265,Exchange,,,,,,,,,,
Huobi 14,0x5861b8446a2f6e19a067874c133f04c578928727,Exchange,,,,,,,,,,
Huobi 15,0x926fc576b7facf6ae2d08ee2d4734c134a743988,Exchange,,,,,,,,,,
Huobi 16,0xeec606a66edb6f497662ea31b5eb1610da87ab5f,Exchange,,,,,,,,,,
Huobi 17,0x7ef35bb398e0416b81b019fea395219b65c52164,Exchange,,,,,,,,,,
Huobi 18,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,Exchange,,,,,,,,,,
Huobi 19,0xd8a83b72377476d0a66683cde20a8aad0b628713,Exchange,,,,,,,,,,
Huobi 2,0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,Exchange,,,,,,,,,,
Huobi 20,0x90e9ddd9d8d5ae4e3763d0cf856c97594dea7325,Exchange,,,,,,,,,,
Huobi 21,0x18916e1a2933cb349145a280473a5de8eb6630cb,Exchange,,,,,,,,,,
Huobi 22,0x6f48a3e70f0251d1e83a989e62aaa2281a6d5380,Exchange,,,,,,,,,,
Huobi 23,0xf056f435ba0cc4fcd2f1b17e3766549ffc404b94,Exchange,,,,,,,,,,
Huobi 24,0x137ad9c4777e1d36e4b605e745e8f37b2b62e9c5,Exchange,,,,,,,,,,
Huobi 25,0x5401dbf7da53e1c9dbf484e3d69505815f2f5e6e,Exchange,,,,,,,,,,
Huobi 26,0x034f854b44d28e26386c1bc37ff9b20c6380b00d,Exchange,,,,,,,,,,
Huobi 27,0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,Exchange,,,,,,,,,,
Huobi 28,0x0c6c34cdd915845376fb5407e0895196c9dd4eec,Exchange,,,,,,,,,,
Huobi 29,0x794d28ac31bcb136294761a556b68d2634094153,Exchange,,,,,,,,,,
Huobi 3,0xfdb16996831753d5331ff813c29a93c76834a0ad,Exchange,,,,,,,,,,
Huobi 30,0xfd54078badd5653571726c3370afb127351a6f26,Exchange,,,,,,,,,,
Huobi 31,0xb4cd0386d2db86f30c1a11c2b8c4f4185c1dade9,Exchange,,,,,,,,,,
ABCC,0x05f51aab068caa6ab7eeb672f88c180f67f17ec7,Exchange,,,,,,,,,,
Alcumex Exchange,0x2ddd202174a72514ed522e77972b461b03155525,Exchange,,,,,,,,,,
APROBIT,0xaecbe94703df39b49ac440feb177c7f1f782c064,Exchange,,,,,,,,,,
Artis Turba Exchange 1,0xf0c80fb9fb22bef8269cb6feb9a51130288a671f,Exchange,,,,,,,,,,
Artis Turba Exchange 2,0x94597850916a49b3b152ee374e97260b99249f5b,Exchange,,,,,,,,,,
ArzPaya.com,0x82a403c14483931b2ff6e4440c8373ccfee698b8,Exchange,,,,,,,,,,
AscendEX 1,0x03bdf69b1322d623836afbd27679a1c0afa067e9,Exchange,,,,,,,,,,
AscendEX 2,0x4b1a99467a284cc690e3237bc69105956816f762,Exchange,,,,,,,,,,
AscendEX 3,0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,Exchange,,,,,,,,,,
ATAIX,0x4df5f3610e2471095a130d7d934d551f3dde01ed,Exchange,,,,,,,,,,
Azbit,0x92dbd8e0a46edd62aa42d1f7902d0e496bddc15a,Exchange,,,,,,,,,,
Beaxy,0xadb72986ead16bdbc99208086bd431c1aa38938e,Exchange,,,,,,,,,,
Beldex,0x258b7b9a1ba92f47f5f4f5e733293477620a82cb,Exchange,,,,,,,,,,
Bgogo 1,0x7a10ec7d68a048bdae36a70e93532d31423170fa,Exchange,,,,,,,,,,
Bgogo 2,0xce1bf8e51f8b39e51c6184e059786d1c0eaf360f,Exchange,,,,,,,,,,
Bibox,0xf73c3c65bde10bf26c2e1763104e609a41702efe,Exchange,,,,,,,,,,
Bidesk 2,0x0bb5de248dbbd31ee6c402c3c4a70293024acf74,Exchange,,,,,,,,,,
Bidesk 3,0xed5cdb0d02152046e6f234ad578613831b9184d4,Exchange,,,,,,,,,,
BigONE,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,Exchange,,,,,,,,,,
BIKI.com,0x6eff3372fa352b239bb24ff91b423a572347000d,Exchange,,,,,,,,,,
Bilaxy 1,0xf7793d27a1b76cdf14db7c83e82c772cf7c92910,Exchange,,,,,,,,,,
Bilaxy 2,0xcce8d59affdd93be338fc77fa0a298c2cb65da59,Exchange,,,,,,,,,,
Binance,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Exchange,,,,,,,,,,
Binance 10,0x85b931a32a0725be14285b66f1a22178c672d69b,Exchange,,,,,,,,,,
Binance 7,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Exchange,,,,,,,,,,
Bitbee,0x2b49ce21ad2004cfb3d0b51b2e8ec0406d632513,Exchange,,,,,,,,,,
Coinbene: Cold Wallet,0x33683b94334eebc9bd3ea85ddbda4a86fb461405,Exchange,,,,,,,,,,
Freewallet: Cold Wallet,0x6025d96932d378be7d0a46343b437678a126ecca,Exchange,,,,,,,,,,
Gemini 3,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Exchange,,,,,,,,,,
Innovaminex: Cold Wallet,0xd40cc2a93c84bf220b25b5b9b2dc49136f775a3c,Exchange,,,,,,,,,,
PXN: Cold Wallet,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,Exchange,,,,,,,,,,
Upbit: Cold Wallet,0xc9cf0ec93d764f5c9571fd12f764bae7fc87c84e,Exchange,,,,,,,,,,
xs2.exchange,0x15c5312e24482547ff35899afedcaeb572ecb029,Exchange,,,,,,,,,,
Bittrex,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Exchange,,,,,,,,,,
Bittrex 2,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Exchange,,,,,,,,,,
Bittrex 3,0x66f820a414680b5bcda5eeca5dea238543f42054,Exchange,,,,,,,,,,
Bittrex: Controller,0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,Exchange,,,,,,,,,,
Binance,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Exchange,,,,,,,,,,
Binance 10,0x85b931a32a0725be14285b66f1a22178c672d69b,Exchange,,,,,,,,,,
Binance 11,0x708396f17127c42383e3b9014072679b2f60b82f,Exchange,,,,,,,,,,
Binance 12,0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,Exchange,,,,,,,,,,
Binance 13,0x8f22f2063d253846b53609231ed80fa571bc0c8f,Exchange,,,,,,,,,,
Binance 14,0x28c6c06298d514db089934071355e5743bf21d60,Exchange,,,,,,,,,,
Binance 15,0x21a31ee1afc51d94c2efccaa2092ad1028285549,Exchange,,,,,,,,,,
Binance 16,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Exchange,,,,,,,,,,
Binance 17,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Exchange,,,,,,,,,,
Binance 18,0x9696f59e4d72e237be84ffd425dcad154bf96976,Exchange,,,,,,,,,,
Binance 19,0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,Exchange,,,,,,,,,,
